Name,Ort,Standort des Lagers,Betreiber,Dauer des Bestehens,Häftlingsbelegung,Unterbringung,Art der Arbeiten,Todesopfer,Rücküberstellungen,Fluchten,Zugänge aus anderen Lagern,Evakuierung,Juristische Aufarbeitung,Besonderheiten der Evakuierung,Besonderheiten des Lagers,Ende der Evakuierung,Quellen,Todesopfer/Vorkommnisse,Verlauf/Orte,Verlauf/Orte/Todesopfer,Rückstellungen,Orte,Besonderheiten,Standort,Überstellungen,Zugänge aus anderen Lager,Auflösung,Transport,Weiterer Arbeitseinsatz,Bestehen des Lagers,Betrieb des Rüstungskonzerns
Außenlager KZ Flossenbürg,"RAW Dresden, 2. Lager (20.2).","Dresden, Güterbahnhof Friedrichstadt.",SS-Außenlager R.A.W. Dresden-Friedrichstadt bei der Reichs- bahndirektion Dresden.,23. März bis 13. April 1945.,500 Häftlinge aus mehreren europäischen Ländern.,"Bahnhofhalle, mehrstöckige Pritschen.",Ausbesserungsarbeiten an Gleisen und Waggons.,33.,,,,Wahrscheinlich 13. April 1945.,"Die Verantwortlichen der RBD hatten sich nicht vor Gericht zu verantworten. Die Deutsche Bundesbahn, jetzt Deutsche Bahn AG, lehnt jede rechtliche Verantwortung für die in ihren Dienststellen begange- nen Verbrechen ab.",,"Die Transporte, die mangelhafte Hygiene, die unzureichende Ernährung und der Stress begünstigten den Ausbruch von Krankheiten. Weil nach wenigen Tagen Fleck<U+FB01>eber auftrat, wurden Gesunde wie Kranke unter Quarantäne gestellt. Die Häftlinge konnten kaum die Erwartungen der RBD Dresden erfüllen und in Schwerstarbeit Gleise und Waggons reparieren. Für den Umgang mit den Kranken waren die Kapos zuständig, die Wachmannschaften lehnten das Betreten der Halle ab und patrouillierten lediglich um das Gebäude herum. Angemessene Krankenversorgung oder Medikamente standen nicht zur Verfügung.474 KZ-Außenlager in Sachsen",Sie wurden am 8. Mai von der Roten Armee befreit.,,Durch den geschwächten Zustand der Häftlinge gab es unterwegs viele Opfer.,"Die marschfähigen Häftlinge mussten zu Fuß in Richtung Leitmeritz (Litomerize) marschieren. Die jüdischen Häftlinge wurden nach Theresienstadt weiter geleitet, wo allerdings nur sechs ankamen.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Dresden-Reick (21).,"Dresden, Mügelner Str. 40.","Ica-Werk Dresden, genutzt von Zeiss-Ikon.",24. Oktober 1944 bis 14. April 1945.,Zunächst 200 weibliche Häftlinge aus Polen und der Sowjetunion.,In den oberen Etagen im Fabrikgebäude auf nackten Holz pritschen.,"Rüstungsproduktion für Flugzeugteile, Aufräumungsarbeiten nach Bombenangriff in 12-Stunden-Schichten.",34 in Dresden.,Eine Frau wurde zur „Sonderbehandlung“ nach Flossenbürg gebracht und verstarb dort.,Neun erfolgreich. Verzeichnis der KZ-Außenlager 475,"Am 25. Februar 1945 kamen weitere 200 Frauen meist aus den KZ Bergen-Belsen und Auschwitz, darunter zahlreiche ungarische Jüdinnen.","14. April 1945, 361 Frauen.",,,"Veränderung bei Bewachung – Abzug Aufseherinnen, Zunahme Wachposten – Räumarbeiten?",Am 9. Mai von sowjetischen Truppen befreit.,,Erschießungen im Buschbachtal; fünf Personen kamen nach der Befreiung ins Stadtkrankenhaus Bad Gottleuba. An der Fichtenbaude existiert ein noch nicht geöffnetes Massen- grab.,"Marsch über Pirna – Königstein – Bielatal bis Fichtenbaude bei Hellendorf. Die SS sperrte die Frauen mehrere Tage in eine Scheune. Hier gab es Erschießungen. Danach wurden die Frauen weiter nach Peterswald (Petrovice) getrieben. Hier erfolgte ein Tieffliegerangriff, bei dem sich die Bewacher absetzten und die Frauen gingen zurück zur Scheune.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Universelle (23).,"Dresden, zwei Standorte – Florastr. 14 (23.1) und Zwickauer Straße (23.2).",Universelle Maschinenfabrik J. G. Müller & Co. für den Junkers- Konzern.,9. Oktober 1944 bis Anfang März 1945.,700 weibliche Häftlinge aus mehreren Ländern.,Die meisten Häftlinge schliefen im 3. oder 4. Obergeschoss des Werkes auf dreistöckigen Holzpritschen. Ein Teil der Frauen wurde nach der Bombardierung in einer Baracke auf dem Werksgelände untergebracht.,Bau von Reglern für Flugzeugmotoren und Torpedos in 12-Stun- den-Schichten.,"Bei den Bombenangriffen vom 13./14. Februar 1945 bekam das Gebäude mehrere Volltreffer und begrub zahlreiche Häftlinge unter den Trümmern und eingestürzter Mauern. Auch das Verließ war verschüttet, in dem sich seit mehreren Tagen vier sowjeti- sche Frauen in Strafhaft befanden.476 KZ-Außenlager in Sachsen",Die beiden sowjetischen Frauen Viktoria Bilinska und Tamara Elissejewa wurden am 3. Januar zur „Sonderbehandlung“ (zur Exekution) nach Flossenbürg gebracht.,"Etwa 150 Häftlinge nutzten das entstandene Chaos in der Bombennacht zur Flucht. Für mindestens 54 Flüchtige sind Wege, Erfolg und Unterstützung durch die Bevölkerung dokumentiert. Darunter sind mehrere Sloweninnen und Serbinnen, die bereits vor Kriegsende in ihrer Heimat ankamen. Zehn wurden nach Bombenangriffen wieder verhaftet.",,Die noch arbeitsfähigen Häftlingsfrauen beräumten nach dem Angriff Trümmer und bargen Tote. Anfang März mussten sie zu Fuß den Marsch nach Mockethal-Zatzschke (63) antreten. Dort kamen nur 63 an. Nach Wiederergreifen Flüchtiger stieg ihre Zahl auf 84 Häftlinge an. Dann Marsch bis Leitmeritz.,Für ihre Übergriffe auf die Häftlinge wurden die SS-Oberaufsehe- rin Charlotte Hanakam und die SS-Aufseherin Magda Mehnert 1946 vom Schwurgericht Dresden zu Zuchthausstrafen von fünf Jahren und drei Monaten verurteilt.,,"Meister Müller in der Bohrerei brachte den Frauen gelegentlich Nachrichten, Zeitungen oder kleine Stücke Brot mit, andere folgten seinem Beispiel. Darüber hinaus gab es mehrere Kollegin- nen, die mit Unterstützern aus dem zivilen Umfeld für Reparatu- ren an der Häftlingskleidung sorgten oder später Hilfe bei Fluchtversuchen leisteten. Die bedeutendste Hilfe durch die Zivilarbeiter war die Unterstützung der Häftlingsforderung an die SS-Wachen, bei Alarm den Keller aufsuchen zu dürfen. Das rettete vielen Frauen das Leben.",,,,,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Dresden Waffen-SS (22).,"Bauleitung der Waffen-SS und Polizei, Dresden N23, Döbelner Str. 54.",Waffen-SS.,22. Juni 1942 (es war das 1. AL des KZ Flossenbürg) bis 15. April 1945.,"100, größtenteils Handwerker aus Deutschland, bis 1943 waren es 200 Häftlinge auch aus verschiedenen Ländern.","Innerhalb des Kasernengeländes in drei Gebäuden, nur in einem befanden sich Waschgelegenheiten.","Bau von Unterkünften, Reservelazaretts für ein Pionier-Ersatz Bataillon.",Zwei – ein Suizid.,,Drei.,,16. April 1945.,Ermittlungen wurden 1976 wegen Verjährung oder Tod der Angeklagten eingestellt.,,Misshandlungen durch die Wachen kamen vor. Insgesamt wird das Verhalten der Kapos durch die Gefangenen im Vergleich zum Stammlager aber als weniger brutal geschildert.,8. Mai 1945 in Niklasberg.,,"Unterwegs versuchten zahlreiche Häftlinge zu fliehen. Dazu heißt es in widersprüchlichen Aussagen, sie seien nicht verfolgt worden. Die andere Version geht von mindestens 30 Erschosse- nen aus.",Todesmarsch über die Carola-Brücke – Dippoldiswalde – Schmie- deberg – Schönfeld – Rehefeld.,,,,,,,,,,,,
Außenlager KZ Buchenwald,Elsnig (25).,"Gemeinde Drebligar, OT Vogelgesang (heute Elsnig).",Westfälisch-Anhaltinische Sprengstoff Aktiengesellschaft (WASAG).,16. Oktober 1944 bis 13. April 1945.,750 polnische Jüdinnen.,Barackenlager in der Gemarkung Rötsch.,Herstellen von Sprengstoff und Abfüllen von Sprengkörpern.,Unbekannt.,Drei – wegen Schwangerschaft nach Bergen-Belsen.,Keine.478 KZ-Außenlager in Sachsen,Keine.,"13. April 1945: Räumung des Lagers und Marsch zum Bahnhof Elsnig, Bahnverladung.",Lagerführer Kurt Völker wurde 1947 an Polen ausgeliefert und dort zu sechs Jahren Haft verurteilt.,"Einige Überlebende wurden einige Tage später während der Berliner Operation durch die Sowjetarmee befreit. Andere Häftlingsfrauen wurden von den Wachmannschaften noch bis in die Stadt Brandenburg gebracht, wahrscheinlich zu Fuß. Sie wurden Ende April 1945 von sowjetischen Truppen befreit.",Ein Teil der Frauen war unmittelbar vor dem Einsatz in Elsnig bereits im Außenlager Benefeld des KZ Bergen-Belsen zur Herstellung von Sprengstoffen für die WASAG eingesetzt.,,,20. April 1945: Bei Beelitz geriet der abgestellte Zug in einen Bombenangriff. Durch Explosion eines angrenzenden Treibstoff- und Munitionslagers wurden einige Waggons zerstört. Die Zahl der dabei getöteten und verletzten Häftlinge ist nicht bekannt.,Anschließend fuhr der Zug mehrere Tage in Richtung Ravens- brück.,,,,,,,,,,,,
Außenlager KZ Flossenbürg,Flöha (27).,Firma Tüllfabrik Flöha AG in Plaue.,Erla-Maschinenwerk GmbH Leipzig (ab Juni 1944 Tarn-Name „Fortuna GmbH“ Flöha).,18. März 1944 bis 15. April 1945.,700 Männer aus mehreren Ländern und verschiedenen Konzen trationslagern.,"Dachboden des Fabrikgebäudes‚ Treppen mit Stacheldraht abgesperrt, nach Fluchtversuchen auch die Dachrinnen.","Fertigung von Rümpfen für das Jagdflugzeug Me 109; Nieten, Bohren, Schweißen, Löten, Blecharbeiten, Transportvorbereitung und Verladen der Rümpfe, die zur Montage in das Werk in Plauen transportiert wurden.",45 während der Lagerexistenz‚ über 100 während der Evakuie- rung.,"KZ Flossenbürg circa 25, KZ Bergen-Belsen 25–30.","Während der Lagerexistenz zwölf, während der Evakuierung circa 150. Verzeichnis der KZ-Außenlager 479","18. März 1944 – KZ Buchenwald, AL Thekla (Leipzig) 160–180; 22. März 1944 – KZ Sachsenhausen, AL Schwarzheide 200; 3. Juni 1944 – KZ Auschwitz über das KZ Flossenbürg 186; 27. 0ktober 1944 – KZ Buchenwald/Thekla 80; 26. Februar 1945 – Arbeitskommando Rauscha (76) des KZ Groß-Rosen, AL Bunzlau I 24.",15. April 1945 unter Kommando von Lagerführer SS-Oberschar- führer Josef Brendel.,"Werkleiter Max Günther wurde wegen Verbrechens gegen die Menschlichkeit nach Kontrollratsgesetz 10, Art. 2‚ Ziff.1c, 2b 2c, zu 20 Jahren Zuchthaus und Aberkennung bürgerlicher .Ehren- rechte verurteilt; Werkmeister Paul Krumfort zu zwei Jahren und sechs Monaten. Der jüdische Kapo Izidor Silbiger wurde in Polen zum Tode verurteilt und gehängt. Der SS-Mann Brendel, dem schon Mitwirkung an der Ermordung von 70 sowjetischen Gefangenen im Sonderlager Hinzert zur Last gelegt wurden (Sept. 1961 OStA LG Mannheim) erhielt vom OLG Trier Freispruch. Für seine Verbrechen in Flöha wurde er nicht vor Gericht gestellt.",,,6. Mai 1945.,,"Der Lagerführer ließ am zweiten Marschtag bei Marienberg Gelobtland 56 Häftlinge erschießen. Auch später erfolgten an verschiedenen Marschorten Morde an Häftlingen. In Theresien- stadt wurden 97 Häftlinge aus Flöha registriert. Einige starben noch dort, darunter der französische Schriftsteller Robert Desnos.",Heinzebank – Gelobtland – Reitzenhain – Kaden (Kadan) – Veru- sice – Saaz (Zatec) – Leitmeritz (Litomerice)/Theresienstadt (Terezín).,,,,,,,,,,,,
Außenlager KZ Buchenwald,Flößberg (28).,"Flößberg, Waldsiedlung, Großes Fürstenholz.","Hugo-Schneider-Aktiengesellschaft (HASAG), Deckname: Flößberger Metallwerke.",28. Dezember 1944 bis 13. April 1945.,"Männer; Juden aus Polen, Ungarn, Deutschland, Frankreich, Griechenland, Slowakei, Niederlande, Belgien, Litauen, Palästina, Tschechei, Schweden, Slowenien; nichtjüdische Häftlinge aus 22 europäischen Nationen. Letzte bekannte Stärke: 1.144 am 10. April 1945.",Barackenlager.,"Aufbau der Lagerbaracken, Bauarbeiten zum Aufbau einer Produktionsstätte für Panzerfäuste, versuchsweise Herstellung von Sprengköpfen für die Panzerfaust.480 KZ-Außenlager in Sachsen","235; davon 27 Ostfriedhof Leipzig, 72 Buchenwald, 98 Borna, Lobstädter Straße, 38 Waldfriedhof Flößberg.","579, dabei mindestens drei Tote.",Eine – Ergebnis unbekannt.,,12. oder 13. April 1945.,Eine gerichtliche Bestrafung der Täter von Flößberg hat nicht stattgefunden.,"Die Anzahl der Lebendangekommenen in Mauthausen ist unbekannt. Bisher sind 75 Überlebende nachgewiesen, bei weiteren 170 Personen konnte bisher keine eindeutige Identifi- zierung erfolgen.",In Buchenwald wurden zehn in Flößberg verstorbene Häftlinge mit Groß-Rosener Nummer gemeldet. Ein Todesfall im Zusam- menhang mit einem Bombenangriff am 5. März 1945 lässt sich nicht belegen.,"28. April 1945 Ankunft in Gusen, Marsch nach Mauthausen.",,"Drei Häftlinge konnten sich vor dem Abtransport im Lager verstecken, einzelne Fluchten ab Taus (Domažlice) sind nach gewiesen.","Bahntransport direkt aus dem Lager nach Mauthausen, über Chemnitz – Aue – Schwarzenberg – Annaberg. Es ist möglich, dass hier bereits der Transport von Venusberg (90) angeschlossen wurde. Weiterfahrt über Weipert (Vejprty) – Komotau (Chomu- tov) – Falkenau (Sokolov) – Pladen (Blatno u Jesenice) bis Ober Birken (Horní Bríza). Ab Ober Birken ist die gemeinsame Weiterfahrt der Transporte aus Flößberg, Freiberg (29) und Venusberg nachgewiesen. Der Transport erfolgte über Taus (Domažlice) – Bieschin (Bešiny) bis Gusen. Aufgrund der Größe wurde der Zug wiederholt in Segmenten transportiert.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Freiberg (29).,"Ehemals Porzellanfabrik Kahla, Werk Freiberg‚ Frauensteiner Straße („Porzelline“).",Arado Flugzeugwerke GmbH Potsdam (Tarnname „Freia GmbH“ Freiberg).,31. August 1944 bis 14. April 1945.,1.002 jüdische Frauen und Mädchen aus mehreren Ländern.,"Bis das Barackenlager am Hammelberg fertiggestellt war, Unterkunft in der Fabrik an der Frauensteiner Straße. Im Januar 1945 Umzug ins Barackenlager Hammerberg‚ was einen etwa halbstündigen Fußmarsch zur Arbeitsstelle verlangte.","Bearbeitung von Metallteilen, Nieten, Bohren, Schleifen, Montie- ren an Tragflächen für das Jagd-Flugzeug Me 109, in 12–14stündi- ger Schicht. Ein Arbeitskommando war in der Optiker-Firma Max Hildebrand, Werk II, in der Himmelfahrtsgasse eingesetzt.","Acht. Sie wurden im Krematorium des Donatsfriedhofs einge- äschert und ihre Urnen dort bestattet. 1953 wurden die Urnen an einen Rabbiner aus Hannover übergeben, der sie auf dem Jüdischen Friedhof in Hannover beisetzen ließ.",Zwei. Am 17. Oktober 1944 in das KZ Flossenbürg (wahrschein- lich schwangere Frauen).,"Keine, einige aus dem Evakuierungstransport.",,"14. April 1945 Verladung in offene Waggons in Freiberg, Bahn- transport über Dresden – Most (Brüx) – Triebschitz (Trebušíce) hier zwei Tage Halt – Komotau (Chomutov) – Pladen (Blatno u Jesenice) – Ober Birken (Horní Bríza). Hier erzwangen tschechi- sche Bahnangestellte die Umladung der Frauen in geschlossenen Güterwagen und Vereinigung mit den Transporten aus Venusberg (90) und Flößberg (28). Weiter ging die Fahrtroute über – Pilsen (Plzen) – Tachau (Tachov) – Haid (Bor) – Taus (Domažlice) – Bud- weis (Ceské Budejovice) – Mauthausen.",Ermittlungen der Zentralstelle Ludwigsburg gegen die verant- wortlichen Lagerfunktionäre wurden am 16. Januar 1968 ergebnislos eingestellt. Nach einer Aussage einer Überlebenden soll der Lagerführer SS-Unterscharführer Beck nach dem 5. Mai 1945 bei einem Fluchtversuch erschossen worden sein.482 KZ-Außenlager in Sachsen,,,28./29. April im KZ Mauthausen.,,"Nach Aussagen mehrerer Überlebender sind an vier bis fünf Orten Tote aus den Waggons ausgeladen worden. Genannt werden: Tachov, Blizejov (15) und Klatovy (viele Tote). Auch in Mauthausen starben Frauen des Lagers Freiberg noch nach der Befreiung am 5. Mai 1945.",,,,,,,,,,,,,
Außenlager KZ Groß-Rosen,Görlitz (32).,"Görlitz, Biesnitzer Grund.",Waggon- und Maschinenbau AG Görlitz (WUMAG).,"8.8.1944 bis 8.5.1945 (Männerlager), 1.9.1944 bis 8.5.1945 (Frauenlager)","1.400 Häftlinge, im November 1944, Nationalitäten: Polen, Karpatho-Ukraine, Ungarn, Slowakei.","Großes, mit elektrischen Stacheldraht und Wachtürmen mit Scheinwerfern errichtetes Barackenlager im Biesnitzer Grund, worin das Frauenlager durch Stacheldraht gesondert umzäunt war.","Stanzarbeiten, Arbeiten zur Herstellung gepanzerter Fahrzeuge, Granatproduktion und sonstige Lagerarbeiten in der WUMAG sowie Straßenbau, Schanzarbeiten in Görlitz.","24 Urnen verstorbener Häftlinge wurden von August bis Oktober 1944 nach Groß Rosen überführt, 111 Urnen auf dem Städtischen Friedhof Görlitz beigesetzt und später auf dem jüdischen Friedhof, Biesnitzer Straße, überführt und 1951 und 2015 ein gemeinsames Ehrenmal geweiht. 173 verhungerte, erschlagene und erschossene Häftlinge wurden im Massengrab auf dem jüdischen Friedhof vergraben. Verzeichnis der KZ-Außenlager 483",,,Im April 1945 wurden120 bis 180 Frauen vom AL Ludwigsdorf (Ludwikowice Klodzkie) nach Görlitz gebracht. Bis Januar 1945 mussten sie mit weiteren Häftlingen in der unterirdischen Munitionsfabrik der Dynamit AG im Schichtbetrieb Sprengstoff und Granaten herstellen. Danach waren sie zum Abtransport oder Fußmarsch nach Görlitz zum Ausheben von Panzersperren und Errichtung von Befestigungsanlagen eingesetzt.,Vom 18. bis 23. Februar 1945 marschierten die Häftlinge nach Rennersdorf. Die Häftlinge waren dort bis 18. März in ehemaligen Pferdeställen untergebracht.,"Der stellvertretende Lagerführer SS-Oberscharführer Joachim Zunker und der Lagerälteste kriminelle Hermann Czech wurden von einem polnischen Gericht zum Tode verurteilt und 1949 hingerichtet. Weitere Beteiligte an den Verbrechen bekamen Haftstrafen. Im Kriegsverbrecherprozess 1948 in Görlitz wurden der ehemalige Kreisleiter der NSDAP, Bruno Malitz, und der ehemalige Oberbürgermeister von Görlitz, Hans Meinshausen, zum Tode verurteilt. Das 1971 eingeleitete Verfahren gegen den Lagerführer Erich Rechenberg wurde wieder eingestellt, da ihm keine Tötungsverbrechen nachgewiesen werden konnten.",Auf Befehl der NSDAP marschierten die Häftlinge nach Görlitz zurück (100 mittels LKW transportiert). Hier wurden diese zu Schanzarbeiten für den Ausbau der Stadt als Festung eingesetzt. In den ersten Maitagen verließen die Bewacher und einige Häftlinge das Lager Richtung Westen. Die anderen Häftlinge wurden am 8. Mai 1945 von der Roten Armee befreit.,,,,Gehunfähige wurden beim Marsch erschossen. Es gab bei der Evakuierung nachweislich 64 Tote. Nach Angaben von Überleben- den kam eine größere Zahl Häftlinge zu Tode.,"Zunächst Marsch nach Kunnerwitz (32.1) und zwei Tage später zusammen mit den Häftlingen des Außenkommandos weiter über Friedersdorf, Deutsch Paulsdorf und Sohland am Rotstein nach Rennersdorf.",,100 Häftlinge brachte man bereits am 12. Februar in das AL Zittau.,,,,,,,,,,
Außenlager KZ Flossenbürg,Gröditz (33).,"Gröditz, Geländes des Stahlwerks.",Mitteldeutsche Stahlwerke Gröditz.,27. September 1944 bis 17. April 1945.,"Mindestens 1.000 überwiegend politische Häftlinge aus 16 euro- päischen Nationen, ab März 1945 auch jüdische Häftlinge.","Dachgeschoss in einem Seitenschiff einer 300 x 80 Meter großen Halle des Maschinenbaus, in der sich auch der abgesonderte Arbeitsbereich der Häftlinge befand.",Bau von Flak-Geschützen.,"Mindestens 220 (ohne Massaker von Koselitz), zunächst im Werk begraben und vor der Evakuierung auf umliegende Friedhöfe verlegt.",Mehrere hundert Häftlinge.,Zwei während des Massakers bei Koselitz.,,"Da die Häftlinge nicht ins Hauptlager zurückgebracht wurden, stellte das Werk Gröditz LKW zur Verfügung, mit denen etwa 500 marschfähige Häftlinge am 27. April 1945 bis in die Gegend von Radebeul gebracht wurden. Von dort erfolgte der Marsch nach Leitmeritz beziehungsweise Theresienstadt.Todesopfer/Vorkommnisse Verlauf/ Insgesamt 53 Kranke, Marschunfähige und 135 Selektierte","Betriebseigner Karl Friedrich Flick wurde 1947 zu sieben Jahren Haft verurteilt, aber 1950 bereits entlassen. Ermittlungen der Zentralen Stelle der Landesjustizverwaltungen und der Staatsanwaltschaft Zweibrücken zwischen 1966 und 1976 wurden eingestellt. Ermittlungen der Staatsanwaltschaft Dresden in den 1990er Jahren wegen der Erschießung in Koselitz wurden eingestellt, da keine Täter ermittelt wurden.",Ein Nachkommando von 30 Häftlingen musste nach der Räumung Akten vernichten und Tote umbetten. Das Kommando wurde spätestens am 20. April an die in Glaubitz lagernde Kolonne der Häftlinge der Leipziger Außenlager angeschlossen.,,"25. April 1945 wurde die Ankunft von 137 Häftlingen aus „Riesa“ in Theresienstadt vermerkt. Nach der Befreiung von Theresien- stadt erklärten 46 ehemalige Häftlinge, in Gröditz eingesetzt gewesen zu sein.",,,,,,"wurden nach Rückkehr der LKW auf diese verladen und zur Sandgrube Koselitz gebracht, in der die Erschießung stattfand. Zwei Häftlingen gelang dabei die Flucht. 186 Leichen wurden später gefunden.",,,,,,,,,
Außenlager KZ Flossenbürg,Hainichen (39).,"Framo-Werke, Hainichen/Sa., Gottfried-Keller-Str. 2.",FRAMO-Werke GmbH Hainichen (Direktor Hans Rasmussen‚ Sohn des Zschopauer DKW-Gründers und Mitbegründers der AUTO UNION AG).,2. September 1944 bis 14. April 1945.,"507 jüdische Frauen aus den KZ Auschwitz-Birkenau und Flossenbürg, aus mehreren Ländern.","Barackenlager, Stacheldrahtumzäunung‚ Wachtürme.","Metallbearbeitung, Drehen, Fräsen, Bohren, u. a. für Teile des Nebelwerfers. Die Frauen und Mädchen wurden alle als Hilfs arbeiterinnen geführt, für die der Betrieb nur 4,- RM an die Verwaltung des KZ Flossenbürg pro Person und Tag abführte.",Sechs (drei davon liegen auf dem Jüdischen Friedhof Chemnitz). Die Gräber der in Hainichen Bestatteten sind nicht bekannt.,,,,Am 14. April 1945 zusammen mit den Frauen des Lagers Mittweida im Fußmarsch bis Freiberg‚ von dort mit Bahntrans- port nach Leitmeritz und wieder im Fußmarsch nach Theresien- stadt.,"Der Lagerführer SS-Oberscharführer Wilhelm Loh wurde im Flossenbürg-Prozess zum Tode verurteilt, später zu 20 Jahren Haft begnadigt, von denen er acht Jahre verbüßte. Die Oberauf seherin Gertrud Becker wurde in den Waldheimer Prozessen zu lebenslänglicher Haft verurteilt, die sie bis 1955, zuletzt in der Haftanstalt Hoheneck, verbüßte. 15 SS-Aufseherinnen wurden von sowjetischen Behörden im NKWD-Lager Mühlberg interniert, wo zwei verstarben, die anderen kamen in das NKWD-Lager Buchenwald und wurden 1950 entlassen. Direktor Rasmussen wurde im NKWD-Lager Tost inhaftiert, wo er verstarb.",,,,,"In Theresienstadt verstarben sechs nach der Befreiung. 41 wurden nicht in Theresienstadt registriert. Es ist nicht bekannt, ob sie während der Evakuierung flüchteten oder umkamen.",,,,,"Einige deutsche Arbeiter unterstützten, trotz Verbot, die Häft- lingsfrauen, die darüber nach dem Krieg in Israel öffentlich publizierten.",,,,,,,,
Außenlager KZ Flossenbürg,Hohenstein-Ernstthal (46).,"Hohenstein-Ernstthal, Schützenplatz.",Auto Union AG.,November 1944 bis April 1945.,Circa 420.,"Barackenlager, Schützenplatz in Hohenstein-Ernstthal.","Arbeit an Werkzeugmaschinen, Bau von Panzermotoren.",Sieben.,,,"Zugang aus dem AL Siegmar im Dezember 1944, 50 ungarische jüdische Häftlinge.",Mitte April 1945 wurde das Außenlager aufgelöst.,Kommandoführer Reber wurde 1950 vorm Landgericht Traun- stein für sein Handeln zu einem Jahr und sechs Monaten Haft verurteilt.,,"Um den Ausfall der Rüstungsproduktion zu minimieren, wurde durch die Auto Union AG die Produktion in der während des Krieges stillgelegten Textilfabrik Laurenz & Wilde in Hohenstein- Ernstthal, Antonstraße 4, von Panzermotoren durch die Häftlinge weiter geführt. Weil einigen der jüdischen Häftlinge bei der Ankunft im KZ Auschwitz die Augengläser abgenommen worden waren, sah sich die Betriebsführung zur Sicherung der Qualität in der Produktion veranlasst, unter SS-Bewachung die Häftlinge zum Augenarzt zu bringen. Ihnen wurde eine Brille verschrieben, die sie auch erhielten.","Am 7. Mai 1945 konnten die Häftlinge bei Luditz (Zlutice) von sowjetischen Truppen befreit werden. Die völlig erschöpften Männer wurden noch Wochen in Krankenhäusern und Sanatorien gepflegt. Trotzdem verstarben noch weitere Häftlinge, so allein im Juli 1945 im Krankenhaus Tischenreuth sieben Häftlinge vom Kommando Siegmar/Hohenstein-Ernstthal.",,"Auf dem Todesmarsch starb eine unbekannte Anzahl von Häftlingen vor Erschöpfung oder es wurden Gehunfähige erschos- sen. Namen von Häftlingen, die während des Marsches geflohen sind, sind unbekannt.","Die Häftlinge der Auto Union AG wurden auf einem Fußmarsch über Grüna, Reichenbrand und den Erzgebirgskamm in den Sudetengau getrieben.",,,,,,,,,,,,
Außenlager KZ Flossenbürg,Johanngeorgenstadt (48).,"Johanngeorgenstadt, Georgistraße, Box-Möbelfabrik Gotthold Heinz (heute: Industriebrache).",Erla Maschinenwerk GmbH Leipzig.,1. Dezember 1943 bis 16. April 1945.,"Über 1.000 männliche Häftlinge aus 14 europäischen Nationen, darunter deutsche und tschechische Sinti und Roma. Stärke am 13. April 1945: 842 KZ-Häftlinge.",Dachgeschoss der Möbelfabrik.,Herstellung und Montage von Leitwerken und Flügeln für das Jagdflugzeug Me 109.,"Mindestens 50 Häftlinge, neun davon in Zwickau verbrannt, Gedenkanlage auf dem Friedhof in Johanngeorgenstadt.",Nicht bekannt.,"Zwei erfolglose Fluchtversuche, die Flüchtigen wurden hingerich- tet.",,16. April 1945: Gegen Abend erfolgte der Abtransport der circa 842 KZ-Häftlinge.,"Der erste Lagerführer SS-Hauptscharführer Cornelius Schwanner, später Kommandoführer im AL Obertraubling, wurde im Dachauer Flossenbürg-Prozess zum Tode verurteilt und 1948 in Landsberg hingerichtet.488 KZ-Außenlager in Sachsen","Die erkrankten und nicht marschfähigen Männer der AL Lengen- feld, Zwickau sowie der Frauen aus Plauen wurden offenbar diesem Eisenbahn-Transport angeschlossen (siehe AL Lengen- feld).",,Ankunft von 94 Häftlingen aus Johanngeorgenstadt und neun aus Lengenfeld am 5. Mai 1945 in Theresienstadt.,,Während des Transportes sollen viele Häftlinge getötet worden sein. Genaue Angaben liegen nicht vor.,"Johanngeorgenstädter Häftlinge fuhren mit der Eisenbahn bis nach Neurohlau (Nová Role), wo die Lok bombardiert wurde. Danach wurden die Häftlinge zu Fuß nach Leitmeritz und Theresienstadt getrieben.",,,,,,,,,,,,
